Model ; X100+Option
Layout Type ; 0
Data Offset ; 23
Date ; 2019-08-06
Time ; 11:29:43

Time Base ; 5 ms/div
Sensitivity ; 100 uV/div
Pan ; 0 ms
Curve no ; 1-10
Common BaseLine ; Off
Lower Frequency Limit ; 1 Hz
Upper Frequency Limit ; 1 kHz
Trigger Mode ; Stimulus

Curve no ; 1 ; 2 ; 3 ; 4 ; 5 ; 6 ; 7 ; 8 ; 9 ; 10
6125 ; -5 ; -5 ; -35 ; 0 ; -15 ; -245 ; -15 ; -10 ; 0 ; 0
6250 ; -5 ; -5 ; -35 ; 0 ; -15 ; -245 ; -10 ; -10 ; 5 ; -5
6375 ; -5 ; -5 ; -35 ; 0 ; -15 ; -245 ; -15 ; -10 ; 5 ; -5
6500 ; -5 ; -5 ; -35 ; 0 ; -15 ; -245 ; -10 ; -10 ; 5 ; -5
6625 ; -5 ; -5 ; -35 ; 0 ; -15 ; -245 ; -15 ; -10 ; 0 ; -5
6750 ; -5 ; -5 ; -40 ; 0 ; -10 ; -245 ; -15 ; -10 ; 5 ; -5
6875 ; -5 ; -5 ; -40 ; 0 ; -15 ; -245 ; -15 ; -10 ; 0 ; -10
7000 ; 0 ; -5 ; -35 ; 0 ; -15 ; -240 ; -15 ; -10 ; 5 ; -10
7125 ; -5 ; 0 ; -40 ; 0 ; -15 ; -245 ; -15 ; -10 ; 5 ; -10
7250 ; 0 ; -5 ; -40 ; 0 ; -10 ; -240 ; -15 ; -10 ; 5 ; -10
7375 ; 0 ; -5 ; -40 ; 5 ; -15 ; -245 ; -15 ; -10 ; 5 ; -10
7500 ; 0 ; -5 ; -40 ; 5 ; -10 ; -240 ; -15 ; -10 ; 5 ; -10
7625 ; 0 ; -5 ; -40 ; 5 ; -15 ; -240 ; -15 ; -10 ; 5 ; -10
7750 ; 0 ; -5 ; -40 ; 5 ; -10 ; -240 ; -15 ; -10 ; 5 ; -10
7875 ; 0 ; -5 ; -40 ; 5 ; -10 ; -245 ; -15 ; -10 ; 5 ; -10
8000 ; 0 ; -5 ; -35 ; 5 ; -10 ; -240 ; -15 ; -10 ; 5 ; -10
8125 ; 0 ; -5 ; -40 ; 5 ; -10 ; -245 ; -15 ; -10 ; 5 ; -10
8250 ; 0 ; -5 ; -35 ; 5 ; -10 ; -240 ; -15 ; -10 ; 5 ; -10
8375 ; 0 ; -5 ; -40 ; 5 ; -10 ; -240 ; -15 ; -10 ; 5 ; -10
8500 ; 0 ; -5 ; -35 ; 10 ; -10 ; -240 ; -15 ; -10 ; 5 ; -10
8625 ; 0 ; -5 ; -35 ; 10 ; -10 ; -240 ; -15 ; -10 ; 5 ; -10
8750 ; 0 ; -5 ; -35 ; 10 ; -10 ; -240 ; -15 ; -10 ; 5 ; -10
8875 ; 0 ; -5 ; -35 ; 10 ; -10 ; -240 ; -15 ; -10 ; 5 ; -10
9000 ; 0 ; -5 ; -35 ; 10 ; -10 ; -245 ; -15 ; -10 ; 10 ; -10
9125 ; 0 ; -5 ; -35 ; 10 ; -10 ; -245 ; -15 ; -10 ; 5 ; -10
