Model ; X100+Option
Layout Type ; 0
Data Offset ; 23
Date ; 2019-07-09
Time ; 17:08:02

Time Base ; 5 ms/div
Sensitivity ; 50 uV/div
Pan ; 0 ms
Curve no ; 10
Common BaseLine ; Off
Lower Frequency Limit ; 100 Hz
Upper Frequency Limit ; 5 kHz
Trigger Mode ; Stimulus

Curve no ; 10
Session Id ; 0
Entry Id ; 0
Data Code ; 1
Amplitude (%) ; 0
di/dt (A/us) ; 0
(us) ; (uV)
0 ; 0
125 ; -320
250 ; -40
375 ; -75
500 ; -25
625 ; -25
750 ; -15
875 ; -15
1000 ; -15
1125 ; -5
1250 ; -10
1375 ; -15
1500 ; -15
1625 ; -5
1750 ; -5
1875 ; -10
2000 ; -5
2125 ; -15
2250 ; -5
2375 ; -10
2500 ; -15
2625 ; -10
2750 ; -10
2875 ; -5
3000 ; 0
3125 ; -10
3250 ; -5
3375 ; 5
3500 ; -10
3625 ; -5
3750 ; -10
3875 ; -5
4000 ; -10
4125 ; -5
4250 ; 0
4375 ; -5
4500 ; -10
4625 ; 0
4750 ; 5
4875 ; -5
5000 ; 5
5125 ; 0
5250 ; 0
5375 ; 5
5500 ; 5
5625 ; 5
5750 ; 0
5875 ; -5
6000 ; 0
6125 ; 0
6250 ; -5
6375 ; 5
6500 ; 5
6625 ; 5
6750 ; 10
6875 ; 5
7000 ; 5
7125 ; 5
7250 ; 0
7375 ; 5
7500 ; 0
7625 ; 0
7750 ; 10
7875 ; 0
8000 ; 0
8125 ; 15
8250 ; 0
8375 ; 5
8500 ; 0
8625 ; 5
8750 ; 5
8875 ; 0
9000 ; 5
9125 ; 10
9250 ; 0
9375 ; 10
9500 ; 15
9625 ; 5
9750 ; 10
9875 ; 15
10000 ; 10
10125 ; 5
10250 ; 0
10375 ; 5
10500 ; 0
10625 ; 10
10750 ; 10
10875 ; 0
11000 ; 0
11125 ; 5
11250 ; 0
11375 ; 5
11500 ; 10
11625 ; 0
11750 ; 0
11875 ; -5
12000 ; -5
12125 ; 0
12250 ; 0
12375 ; 5
12500 ; 10
12625 ; 0
12750 ; 5
12875 ; 5
13000 ; -5
13125 ; -5
13250 ; -5
13375 ; -5
13500 ; 0
13625 ; -5
13750 ; 0
13875 ; 0
14000 ; -5
14125 ; 0
14250 ; 0
14375 ; -5
14500 ; -5
14625 ; 0
14750 ; -5
14875 ; 0
15000 ; -15
15125 ; -10
15250 ; -10
15375 ; -10
15500 ; -10
15625 ; -10
15750 ; -15
15875 ; -5
16000 ; -5
16125 ; -10
16250 ; -5
16375 ; -10
16500 ; -10
16625 ; -5
16750 ; -10
16875 ; -10
17000 ; -15
17125 ; -10
17250 ; -10
17375 ; -15
17500 ; -15
17625 ; -5
17750 ; -10
17875 ; -15
18000 ; -5
18125 ; -10
18250 ; -5
18375 ; -10
18500 ; -10
18625 ; -5
18750 ; -10
18875 ; 0
19000 ; -5
19125 ; -15
19250 ; -10
19375 ; -10
19500 ; -15
19625 ; -15
19750 ; -10
19875 ; -10
20000 ; -10
20125 ; -10
20250 ; -10
20375 ; -5
20500 ; -15
20625 ; -5
20750 ; 0
20875 ; -15
21000 ; -10
21125 ; -10
21250 ; -10
21375 ; -5
21500 ; -10
21625 ; -5
21750 ; -5
21875 ; -10
22000 ; 0
22125 ; -5
22250 ; -10
22375 ; -10
22500 ; -5
22625 ; -15
22750 ; -5
22875 ; -10
23000 ; -10
23125 ; -5
23250 ; -10
23375 ; -5
23500 ; -5
23625 ; -5
23750 ; 0
23875 ; -10
24000 ; -10
24125 ; 5
24250 ; 0
24375 ; -5
24500 ; -5
24625 ; -5
24750 ; 0
24875 ; 0
25000 ; 5
25125 ; 5
25250 ; 5
25375 ; 15
25500 ; 15
25625 ; 10
25750 ; 10
25875 ; 15
26000 ; 10
26125 ; 15
26250 ; 15
26375 ; 10
26500 ; 5
26625 ; 5
26750 ; 5
26875 ; -10
27000 ; -15
27125 ; -5
27250 ; -5
27375 ; -15
27500 ; -15
27625 ; -15
27750 ; -10
27875 ; -10
28000 ; -15
28125 ; -15
28250 ; -25
28375 ; -30
28500 ; -35
28625 ; -45
28750 ; -45
28875 ; -40
29000 ; -55
29125 ; -60
29250 ; -45
29375 ; -45
29500 ; -35
29625 ; -25
29750 ; -25
29875 ; -15
30000 ; -20
30125 ; -35
30250 ; -35
30375 ; -55
30500 ; -65
30625 ; -65
30750 ; -75
30875 ; -70
31000 ; -75
31125 ; -90
31250 ; -85
31375 ; -85
31500 ; -70
31625 ; -55
31750 ; -55
31875 ; -30
32000 ; -5
32125 ; 10
32250 ; 25
32375 ; 60
32500 ; 70
32625 ; 90
32750 ; 110
32875 ; 120
33000 ; 130
33125 ; 145
33250 ; 155
33375 ; 165
33500 ; 155
33625 ; 150
33750 ; 150
33875 ; 120
34000 ; 95
34125 ; 70
34250 ; 45
34375 ; 30
34500 ; 10
34625 ; -5
34750 ; -10
34875 ; -20
35000 ; -20
35125 ; -15
35250 ; -30
35375 ; -25
35500 ; -20
35625 ; -20
35750 ; -15
35875 ; -15
36000 ; -15
36125 ; -15
36250 ; -15
36375 ; -5
36500 ; -15
36625 ; -15
36750 ; -10
36875 ; -10
37000 ; -10
37125 ; -5
37250 ; -10
37375 ; -10
37500 ; -10
37625 ; -10
37750 ; -5
37875 ; -10
38000 ; -5
38125 ; -5
38250 ; -15
38375 ; -15
38500 ; -10
38625 ; -10
38750 ; -10
38875 ; -10
39000 ; -15
39125 ; -15
39250 ; -25
39375 ; -15
39500 ; -20
39625 ; -20
39750 ; -20
39875 ; -10
40000 ; -20
40125 ; -15
40250 ; -10
40375 ; -15
40500 ; -10
40625 ; -10
40750 ; -15
40875 ; -15
41000 ; -15
41125 ; -15
41250 ; -20
41375 ; -20
41500 ; -10
41625 ; -10
41750 ; -15
41875 ; -15
42000 ; -5
42125 ; -15
42250 ; -10
42375 ; -20
42500 ; -20
42625 ; -15
42750 ; -15
42875 ; -10
43000 ; -10
43125 ; -10
43250 ; 0
43375 ; 5
43500 ; -10
43625 ; 0
43750 ; -10
43875 ; -10
44000 ; -5
44125 ; -10
44250 ; 0
44375 ; 0
44500 ; -5
44625 ; -5
44750 ; -5
44875 ; 0
45000 ; 10
45125 ; 5
45250 ; 0
45375 ; 5
45500 ; 0
45625 ; 0
45750 ; 0
45875 ; 0
46000 ; 0
46125 ; 0
46250 ; 0
46375 ; 5
46500 ; 0
46625 ; 0
46750 ; 10
46875 ; 0
47000 ; 0
47125 ; 10
47250 ; 5
47375 ; 5
47500 ; 5
47625 ; 10
47750 ; 5
47875 ; 5
48000 ; 10
48125 ; 10
48250 ; 5
48375 ; 0
48500 ; 10
48625 ; 0
48750 ; 5
48875 ; 0
49000 ; 0
49125 ; 5
49250 ; 0
49375 ; 10
49500 ; 5
49625 ; 10
49750 ; 15
49875 ; 10
