Model ; X100+Option
Layout Type ; 0
Data Offset ; 23
Date ; 2019-07-09
Time ; 17:22:13

Time Base ; 5 ms/div
Sensitivity ; 50 uV/div
Pan ; 0 ms
Curve no ; 1-5
Common BaseLine ; Off
Lower Frequency Limit ; 100 Hz
Upper Frequency Limit ; 5 kHz
Trigger Mode ; Stimulus

Curve no ; 1 ; 2 ; 3 ; 4 ; 5
12500 ; 15 ; -5 ; 0 ; 0 ; 5
12625 ; 5 ; -10 ; 5 ; 5 ; 5
12750 ; 10 ; -5 ; 5 ; 5 ; -5
12875 ; 10 ; -10 ; 0 ; 0 ; 5
13000 ; 15 ; -10 ; -5 ; 5 ; 10
13125 ; 20 ; 0 ; 10 ; 5 ; 0
13250 ; 10 ; 0 ; 10 ; 5 ; 0
13375 ; 15 ; -10 ; 5 ; 5 ; 10
13500 ; 15 ; -5 ; 5 ; 5 ; 5
13625 ; 10 ; -5 ; 5 ; 10 ; 0
13750 ; 10 ; -5 ; 5 ; 5 ; 0
13875 ; 15 ; 0 ; 10 ; 0 ; 0
14000 ; 10 ; -10 ; 5 ; 5 ; 0
14125 ; 15 ; -5 ; 10 ; 10 ; -10
14250 ; 15 ; -10 ; 10 ; 5 ; 0
14375 ; 15 ; 0 ; 10 ; 5 ; 0
14500 ; 20 ; 5 ; 15 ; 0 ; 0
14625 ; 10 ; 0 ; 5 ; 5 ; 5
14750 ; 10 ; -5 ; 5 ; 0 ; 10
14875 ; 10 ; 5 ; 10 ; 5 ; 0
15000 ; 0 ; 5 ; 5 ; 10 ; 0
15125 ; 10 ; 5 ; 5 ; 0 ; 5
15250 ; 10 ; 0 ; 5 ; 5 ; -5
15375 ; 0 ; 0 ; 5 ; 10 ; -5
15500 ; 10 ; -5 ; 10 ; 10 ; -10
15625 ; 15 ; -10 ; 5 ; 10 ; -10
15750 ; 5 ; -10 ; 5 ; 15 ; 0
15875 ; 15 ; -5 ; 10 ; 10 ; -5
16000 ; 5 ; -10 ; 10 ; 10 ; -10
16125 ; 5 ; -5 ; 15 ; 10 ; -10
16250 ; 10 ; -5 ; 20 ; 10 ; -10
16375 ; 10 ; -10 ; 10 ; 5 ; 0
16500 ; 15 ; -10 ; 10 ; 0 ; -5
16625 ; 5 ; -5 ; 15 ; 0 ; -10
16750 ; 5 ; -10 ; 0 ; 5 ; -5
16875 ; 15 ; -5 ; 10 ; 0 ; 0
17000 ; 5 ; -10 ; 5 ; 5 ; -10
17125 ; 5 ; -10 ; 5 ; 10 ; 0
17250 ; 10 ; -5 ; 0 ; 10 ; -10
17375 ; 10 ; -5 ; -5 ; 5 ; -10
17500 ; 5 ; -5 ; 0 ; 5 ; -10
17625 ; 15 ; -10 ; 0 ; 5 ; -5
17750 ; 10 ; -10 ; -5 ; 5 ; -5
17875 ; 10 ; 5 ; 5 ; 0 ; -10
18000 ; 5 ; 0 ; 5 ; 5 ; -5
18125 ; 5 ; -10 ; 0 ; 10 ; 0
18250 ; 10 ; -5 ; 0 ; 0 ; 0
18375 ; 5 ; -5 ; 0 ; 10 ; -10
18500 ; 0 ; -5 ; -5 ; 5 ; -10
18625 ; 10 ; -5 ; 0 ; 5 ; -10
18750 ; 10 ; -10 ; -5 ; 10 ; -10
18875 ; 5 ; -5 ; 0 ; 10 ; -15
19000 ; 5 ; -10 ; 0 ; 5 ; -10
19125 ; 5 ; 0 ; 0 ; 10 ; -10
19250 ; 5 ; 0 ; 5 ; 5 ; -10
19375 ; 5 ; -10 ; 0 ; 5 ; -5
19500 ; 5 ; -10 ; 5 ; 0 ; -10
19625 ; 5 ; 0 ; 5 ; 0 ; -15
19750 ; 5 ; -10 ; 0 ; 0 ; -15
19875 ; 10 ; -10 ; -5 ; -5 ; -10
20000 ; 15 ; -5 ; 0 ; -5 ; -15
20125 ; 5 ; -15 ; -5 ; 5 ; -10
20250 ; 5 ; -10 ; 0 ; 5 ; -15
20375 ; 10 ; -15 ; 0 ; -5 ; -15
20500 ; 10 ; -5 ; 0 ; 0 ; -10
20625 ; 15 ; -15 ; 0 ; 0 ; -15
20750 ; 15 ; -15 ; -5 ; 0 ; -10
20875 ; 10 ; -10 ; 5 ; 5 ; -10
21000 ; 10 ; -5 ; 0 ; 0 ; -15
21125 ; 10 ; -10 ; -5 ; -5 ; -15
21250 ; 10 ; -20 ; -10 ; -5 ; -5
21375 ; 5 ; -5 ; -5 ; -10 ; -15
21500 ; 0 ; -10 ; -10 ; -5 ; -10
21625 ; 10 ; -5 ; -5 ; -15 ; -10
21750 ; 10 ; -5 ; -10 ; -10 ; -20
21875 ; 5 ; -10 ; -15 ; 5 ; -15
22000 ; 10 ; -5 ; -20 ; -5 ; -15
22125 ; 10 ; -5 ; -15 ; -5 ; -10
