Model ; X100+Option
Layout Type ; 0
Data Offset ; 23
Date ; 2019-07-09
Time ; 16:48:18

Time Base ; 1 ms/div
Sensitivity ; 50 uV/div
Pan ; 0 ms
Curve no ; 10
Common BaseLine ; Off
Lower Frequency Limit ; 100 Hz
Upper Frequency Limit ; 5 kHz
Trigger Mode ; Stimulus

Curve no ; 10
Session Id ; 0
Entry Id ; 0
Data Code ; 1
Amplitude (%) ; 0
di/dt (A/us) ; 0
(us) ; (uV)
0 ; 0
25 ; 10
50 ; -15
75 ; -20
100 ; -5
125 ; -5
150 ; 0
175 ; 30
200 ; 35
225 ; 15
250 ; 0
275 ; 20
300 ; 10
325 ; 30
350 ; 15
375 ; 15
400 ; 20
425 ; 25
450 ; 10
475 ; 15
500 ; 35
525 ; 45
550 ; 20
575 ; 10
600 ; -5
625 ; -10
650 ; -20
675 ; -10
700 ; 5
725 ; 5
750 ; 5
775 ; 0
800 ; -20
825 ; -20
850 ; 15
875 ; 30
900 ; 10
925 ; -15
950 ; -10
975 ; -20
1000 ; -20
1025 ; -10
1050 ; 5
1075 ; 0
1100 ; 5
1125 ; 5
1150 ; -25
1175 ; -30
1200 ; -30
1225 ; -20
1250 ; -35
1275 ; -20
1300 ; -5
1325 ; 0
1350 ; 0
1375 ; 0
1400 ; -10
1425 ; -30
1450 ; -40
1475 ; -30
1500 ; -20
1525 ; 0
1550 ; 5
1575 ; 0
1600 ; -20
1625 ; -15
1650 ; -10
1675 ; -5
1700 ; -15
1725 ; -20
1750 ; -15
1775 ; -5
1800 ; -20
1825 ; -15
1850 ; 5
1875 ; 10
1900 ; 10
1925 ; 5
1950 ; 15
1975 ; 20
2000 ; 40
2025 ; 30
2050 ; 10
2075 ; 10
2100 ; 5
2125 ; -5
2150 ; -15
2175 ; -10
2200 ; -30
2225 ; -30
2250 ; -50
2275 ; -40
2300 ; -20
2325 ; -15
2350 ; -10
2375 ; -10
2400 ; 20
2425 ; 30
2450 ; 30
2475 ; 35
2500 ; 25
2525 ; 0
2550 ; -10
2575 ; -20
2600 ; -15
2625 ; 0
2650 ; 15
2675 ; 20
2700 ; -10
2725 ; -30
2750 ; -25
2775 ; -20
2800 ; -25
2825 ; -20
2850 ; -20
2875 ; -25
2900 ; -5
2925 ; 0
2950 ; -10
2975 ; 0
3000 ; 10
3025 ; 0
3050 ; 5
3075 ; 5
3100 ; -5
3125 ; -10
3150 ; -20
3175 ; -20
3200 ; 0
3225 ; 0
3250 ; -15
3275 ; -5
3300 ; 5
3325 ; 20
3350 ; 45
3375 ; 50
3400 ; 40
3425 ; 40
3450 ; 10
3475 ; 0
3500 ; -5
3525 ; 5
3550 ; -5
3575 ; -5
3600 ; -5
3625 ; 15
3650 ; 20
3675 ; 10
3700 ; -15
3725 ; -20
3750 ; -15
3775 ; -5
3800 ; 0
3825 ; 5
3850 ; -5
3875 ; -10
3900 ; -10
3925 ; -5
3950 ; -10
3975 ; -20
4000 ; -25
4025 ; -15
4050 ; 0
4075 ; -5
4100 ; 0
4125 ; 0
4150 ; 10
4175 ; 15
4200 ; 5
4225 ; 0
4250 ; 20
4275 ; 10
4300 ; 15
4325 ; 20
4350 ; 5
4375 ; -25
4400 ; -25
4425 ; -35
4450 ; -25
4475 ; -35
4500 ; -25
4525 ; 0
4550 ; 0
4575 ; 10
4600 ; -10
4625 ; -10
4650 ; 15
4675 ; 15
4700 ; 0
4725 ; -10
4750 ; -10
4775 ; -35
4800 ; -45
4825 ; -35
4850 ; -20
4875 ; -30
4900 ; -35
4925 ; -20
4950 ; -5
4975 ; 0
5000 ; 0
5025 ; -15
5050 ; -25
5075 ; -20
5100 ; -15
5125 ; -10
5150 ; -15
5175 ; -20
5200 ; -15
5225 ; -5
5250 ; -10
5275 ; -20
5300 ; -25
5325 ; -10
5350 ; -10
5375 ; -15
5400 ; -5
5425 ; 0
5450 ; 5
5475 ; 10
5500 ; 40
5525 ; 35
5550 ; 0
5575 ; -30
5600 ; -25
5625 ; -40
5650 ; -35
5675 ; -20
5700 ; 0
5725 ; -15
5750 ; 5
5775 ; 15
5800 ; 0
5825 ; -15
5850 ; -15
5875 ; -15
5900 ; -5
5925 ; 5
5950 ; -15
5975 ; -25
6000 ; 5
6025 ; 10
6050 ; 20
6075 ; 15
6100 ; -10
6125 ; -10
6150 ; -10
6175 ; -15
6200 ; 5
6225 ; 10
6250 ; -15
6275 ; -5
6300 ; -15
6325 ; -10
6350 ; -15
6375 ; -5
6400 ; 15
6425 ; 10
6450 ; 15
6475 ; 15
6500 ; 10
6525 ; -20
6550 ; -15
6575 ; -5
6600 ; -25
6625 ; -30
6650 ; -10
6675 ; 15
6700 ; 15
6725 ; 20
6750 ; 0
6775 ; -15
6800 ; -10
6825 ; -15
6850 ; -5
6875 ; 15
6900 ; 25
6925 ; 45
6950 ; 45
6975 ; 35
7000 ; 20
7025 ; 30
7050 ; 10
7075 ; -15
7100 ; -25
7125 ; -15
7150 ; 15
7175 ; 15
7200 ; 5
7225 ; -10
7250 ; -10
7275 ; -10
7300 ; -10
7325 ; 0
7350 ; -25
7375 ; -25
7400 ; 5
7425 ; -5
7450 ; 5
7475 ; -10
7500 ; -20
7525 ; -10
7550 ; -5
7575 ; 0
7600 ; 10
7625 ; 30
7650 ; 5
7675 ; 5
7700 ; 15
7725 ; 5
7750 ; -10
7775 ; -5
7800 ; -5
7825 ; 0
7850 ; 0
7875 ; 0
7900 ; -15
7925 ; -20
7950 ; -20
7975 ; -10
8000 ; 0
8025 ; -10
8050 ; 10
8075 ; 20
8100 ; 0
8125 ; 0
8150 ; 20
8175 ; 5
8200 ; -5
8225 ; -15
8250 ; -5
8275 ; -5
8300 ; -5
8325 ; -10
8350 ; -10
8375 ; -10
8400 ; 15
8425 ; 5
8450 ; 10
8475 ; 0
8500 ; 15
8525 ; 35
8550 ; 10
8575 ; 5
8600 ; -10
8625 ; 0
8650 ; 15
8675 ; 5
8700 ; -20
8725 ; -20
8750 ; -15
8775 ; -20
8800 ; -10
8825 ; 5
8850 ; 10
8875 ; 0
8900 ; 5
8925 ; 10
8950 ; -15
8975 ; -15
9000 ; -15
9025 ; -20
9050 ; -30
9075 ; -20
9100 ; 10
9125 ; 0
9150 ; -5
9175 ; 0
9200 ; -15
9225 ; -20
9250 ; -10
9275 ; -10
9300 ; 5
9325 ; -5
9350 ; -10
9375 ; -20
9400 ; -25
9425 ; -15
9450 ; 15
9475 ; 0
9500 ; -15
9525 ; 0
9550 ; 15
9575 ; 15
9600 ; 15
9625 ; -5
9650 ; -25
9675 ; -20
9700 ; -40
9725 ; -30
9750 ; 5
9775 ; 20
9800 ; 10
9825 ; 0
9850 ; 10
9875 ; 20
9900 ; -5
9925 ; -10
9950 ; 5
9975 ; 0
