Model ; X100+Option
Layout Type ; 0
Data Offset ; 23
Date ; 2019-07-09
Time ; 17:08:26

Time Base ; 5 ms/div
Sensitivity ; 50 uV/div
Pan ; 0 ms
Curve no ; 6-10
Common BaseLine ; Off
Lower Frequency Limit ; 100 Hz
Upper Frequency Limit ; 5 kHz
Trigger Mode ; Stimulus

Curve no ; 6 ; 7 ; 8 ; 9 ; 10
Session Id ; 0 ; 0 ; 0 ; 0 ; 0
Entry Id ; 0 ; 0 ; 0 ; 0 ; 0
Data Code ; 1 ; 1 ; 1 ; 1 ; 1
Amplitude (%) ; 0 ; 0 ; 0 ; 0 ; 0
di/dt (A/us) ; 0 ; 0 ; 0 ; 0 ; 0
(us) ; (uV) ; (uV) ; (uV) ; (uV) ; (uV)
0 ; 0 ; 0 ; 0 ; 0 ; 0
125 ; -320 ; -320 ; 0 ; 20 ; -320
250 ; 30 ; 90 ; 0 ; 0 ; -40
375 ; -45 ; -30 ; 0 ; -10 ; -75
500 ; 5 ; 25 ; 0 ; -30 ; -25
625 ; 10 ; 25 ; 0 ; -35 ; -25
750 ; 25 ; 30 ; 0 ; -25 ; -15
875 ; 10 ; 30 ; 0 ; -20 ; -15
1000 ; 5 ; 25 ; 0 ; 5 ; -15
1125 ; 10 ; 15 ; 0 ; 0 ; -5
1250 ; 5 ; 15 ; 0 ; 0 ; -10
1375 ; 5 ; 15 ; 0 ; -15 ; -15
1500 ; 5 ; 10 ; 0 ; -25 ; -15
1625 ; 5 ; 10 ; 0 ; -20 ; -5
1750 ; 0 ; 0 ; 0 ; -20 ; -5
1875 ; 0 ; 0 ; 0 ; -5 ; -10
2000 ; 5 ; -5 ; 0 ; 15 ; -5
2125 ; -5 ; -5 ; 0 ; 0 ; -15
2250 ; 0 ; 10 ; 0 ; -20 ; -5
2375 ; 5 ; 0 ; 0 ; -15 ; -10
2500 ; 5 ; 0 ; 0 ; -5 ; -15
2625 ; -5 ; 5 ; 0 ; -5 ; -10
2750 ; 0 ; 5 ; 0 ; -15 ; -10
2875 ; -5 ; -10 ; 0 ; -5 ; -5
3000 ; -10 ; 0 ; 0 ; -5 ; 0
3125 ; -5 ; 0 ; 0 ; -10 ; -10
3250 ; -5 ; -5 ; 0 ; 5 ; -5
3375 ; -5 ; -5 ; 0 ; 10 ; 5
3500 ; -10 ; -5 ; 0 ; 10 ; -10
3625 ; -5 ; 0 ; 0 ; 5 ; -5
3750 ; -5 ; -5 ; 0 ; 5 ; -10
3875 ; -10 ; 0 ; 0 ; 10 ; -5
4000 ; -15 ; 5 ; 0 ; 5 ; -10
4125 ; -5 ; -5 ; 0 ; -10 ; -5
4250 ; -10 ; -10 ; 0 ; -25 ; 0
4375 ; -15 ; 0 ; 0 ; -20 ; -5
4500 ; -5 ; -5 ; 0 ; -35 ; -10
4625 ; -10 ; -10 ; 0 ; -25 ; 0
4750 ; -5 ; -10 ; 0 ; -5 ; 5
4875 ; -5 ; -10 ; 0 ; 0 ; -5
5000 ; -10 ; -10 ; 0 ; -10 ; 5
5125 ; -10 ; -5 ; 0 ; -20 ; 0
5250 ; -10 ; 0 ; 0 ; -5 ; 0
5375 ; 0 ; -5 ; 0 ; 10 ; 5
5500 ; 0 ; -5 ; 0 ; 25 ; 5
5625 ; -5 ; 5 ; 0 ; 15 ; 5
5750 ; -10 ; 5 ; 0 ; 15 ; 0
5875 ; -10 ; -5 ; 0 ; 10 ; -5
6000 ; -15 ; 0 ; 0 ; 15 ; 0
6125 ; -15 ; 0 ; 0 ; 5 ; 0
6250 ; -10 ; 5 ; 0 ; 0 ; -5
6375 ; -15 ; 5 ; 0 ; -5 ; 5
6500 ; -5 ; 5 ; 0 ; 0 ; 5
6625 ; -5 ; 0 ; 0 ; 5 ; 5
6750 ; -10 ; 5 ; 0 ; -15 ; 10
6875 ; -5 ; 0 ; 0 ; -10 ; 5
7000 ; -10 ; 5 ; 0 ; -25 ; 5
7125 ; 0 ; 0 ; 0 ; -15 ; 5
7250 ; 5 ; 0 ; 0 ; -10 ; 0
7375 ; -10 ; 10 ; 0 ; 5 ; 5
7500 ; -10 ; 10 ; 0 ; 20 ; 0
7625 ; -5 ; 5 ; 0 ; 35 ; 0
7750 ; -5 ; 5 ; 0 ; 20 ; 10
7875 ; -5 ; 5 ; 0 ; -5 ; 0
8000 ; -5 ; 0 ; 0 ; 15 ; 0
8125 ; 0 ; 5 ; 0 ; 20 ; 15
8250 ; -5 ; 0 ; 0 ; 15 ; 0
8375 ; -5 ; 5 ; 0 ; 0 ; 5
8500 ; 0 ; 10 ; 0 ; -5 ; 0
8625 ; -5 ; 5 ; 0 ; -15 ; 5
8750 ; -10 ; 10 ; 0 ; -5 ; 5
8875 ; -5 ; 5 ; 0 ; 0 ; 0
9000 ; -15 ; 5 ; 0 ; -25 ; 5
9125 ; -10 ; 5 ; 0 ; -35 ; 10
9250 ; -5 ; 5 ; 0 ; -50 ; 0
9375 ; -10 ; 5 ; 0 ; -30 ; 10
9500 ; -5 ; 10 ; 0 ; 10 ; 15
9625 ; -10 ; 5 ; 0 ; 15 ; 5
9750 ; 0 ; 0 ; 0 ; 25 ; 10
9875 ; 0 ; 0 ; 0 ; 25 ; 15
10000 ; -10 ; 0 ; 0 ; -5 ; 10
10125 ; 0 ; 5 ; 0 ; -5 ; 5
10250 ; -5 ; 5 ; 0 ; 20 ; 0
10375 ; -5 ; 5 ; 0 ; 35 ; 5
10500 ; -5 ; 5 ; 0 ; 35 ; 0
10625 ; 5 ; 0 ; 0 ; 25 ; 10
