Model ; X100+Option
Layout Type ; 0
Data Offset ; 23
Date ; 2019-07-18
Time ; 15:45:00

Time Base ; 5 ms/div
Sensitivity ; 100 uV/div
Pan ; 0 ms
Curve no ; 1-5
Common BaseLine ; Off
Lower Frequency Limit ; 100 Hz
Upper Frequency Limit ; 5 kHz
Trigger Mode ; Stimulus

Curve no ; 1 ; 2 ; 3 ; 4 ; 5
12500 ; 0 ; 5 ; -5 ; -5 ; -5
12625 ; 0 ; -5 ; -5 ; 0 ; 0
12750 ; -5 ; -5 ; -10 ; 0 ; 0
12875 ; 0 ; -5 ; -5 ; -5 ; -5
13000 ; 0 ; -5 ; -5 ; 5 ; -5
13125 ; 5 ; -5 ; 0 ; -5 ; 0
13250 ; 0 ; -5 ; -5 ; -5 ; -5
13375 ; 5 ; 5 ; -5 ; -5 ; -5
13500 ; 0 ; -5 ; 0 ; -5 ; 0
13625 ; -5 ; -5 ; -10 ; -10 ; 5
13750 ; 0 ; 5 ; -5 ; -5 ; -5
13875 ; 0 ; -5 ; -5 ; 0 ; -5
14000 ; -5 ; -5 ; -5 ; -5 ; 5
14125 ; 0 ; -5 ; 0 ; 0 ; -5
14250 ; 0 ; -5 ; 0 ; 0 ; -5
14375 ; 0 ; -5 ; 0 ; -10 ; 0
14500 ; 0 ; 0 ; -5 ; -10 ; 0
14625 ; 0 ; 5 ; 0 ; -5 ; -5
14750 ; 0 ; 0 ; 0 ; -10 ; -5
14875 ; -5 ; -5 ; -10 ; -5 ; 5
15000 ; 0 ; 0 ; -5 ; -5 ; 0
15125 ; 0 ; -5 ; -5 ; -5 ; 0
15250 ; -5 ; -5 ; -10 ; -5 ; 5
15375 ; 0 ; 0 ; 0 ; -5 ; -5
15500 ; 0 ; -5 ; -5 ; -5 ; 0
15625 ; 0 ; 0 ; -5 ; -10 ; -5
15750 ; 0 ; 0 ; 0 ; -5 ; 0
15875 ; 0 ; 0 ; -5 ; -5 ; 0
16000 ; 0 ; 0 ; -5 ; -10 ; 0
16125 ; -5 ; 0 ; -5 ; 0 ; 5
16250 ; 0 ; 0 ; 0 ; -5 ; 0
16375 ; 0 ; -5 ; 0 ; -5 ; 0
16500 ; -10 ; 0 ; -5 ; 0 ; 5
16625 ; 0 ; 0 ; 0 ; 0 ; 5
16750 ; 0 ; -10 ; -5 ; -5 ; 0
16875 ; 0 ; 0 ; -5 ; -5 ; -5
17000 ; 0 ; 0 ; 5 ; -5 ; 5
17125 ; 0 ; 0 ; -5 ; -10 ; 0
17250 ; 0 ; 0 ; -5 ; -5 ; -5
17375 ; -5 ; 0 ; 0 ; 0 ; 5
17500 ; 5 ; 0 ; -5 ; -5 ; 0
17625 ; 0 ; -5 ; -5 ; -5 ; 0
17750 ; -10 ; 0 ; 0 ; 5 ; 5
17875 ; 5 ; 0 ; 5 ; -5 ; 5
18000 ; -5 ; -10 ; -5 ; -5 ; 0
18125 ; 0 ; 5 ; -5 ; -5 ; -5
18250 ; 5 ; 0 ; 0 ; -5 ; 5
18375 ; 0 ; -5 ; -5 ; -5 ; 5
18500 ; -5 ; 0 ; -5 ; -5 ; -10
18625 ; -5 ; 0 ; 0 ; 5 ; 5
18750 ; -5 ; -5 ; -5 ; -5 ; 0
18875 ; 0 ; -5 ; 0 ; 0 ; 0
19000 ; -5 ; -5 ; 0 ; 5 ; 5
19125 ; 5 ; -5 ; 0 ; -5 ; 5
19250 ; -5 ; -5 ; 0 ; -5 ; 0
19375 ; -5 ; 0 ; 0 ; 0 ; -5
19500 ; 5 ; -5 ; -5 ; -10 ; 0
19625 ; -5 ; -5 ; -5 ; -5 ; 0
19750 ; 0 ; 0 ; 0 ; 0 ; -10
19875 ; 0 ; -5 ; 0 ; 0 ; 0
20000 ; 0 ; -10 ; -5 ; 0 ; 0
20125 ; -5 ; -5 ; 0 ; 0 ; 0
20250 ; 0 ; -5 ; 0 ; 0 ; 0
20375 ; 5 ; -10 ; -5 ; -5 ; 0
20500 ; 0 ; -5 ; 0 ; 0 ; 0
20625 ; -5 ; -5 ; -5 ; 0 ; -5
20750 ; 5 ; -5 ; 0 ; -10 ; 0
20875 ; -5 ; -5 ; -5 ; 0 ; 0
21000 ; 0 ; -5 ; 0 ; 0 ; -10
21125 ; 0 ; -10 ; -5 ; -5 ; -5
21250 ; -5 ; -5 ; -10 ; 0 ; -5
21375 ; 0 ; -5 ; -5 ; 5 ; -5
21500 ; 0 ; -15 ; -5 ; 0 ; -10
21625 ; 0 ; -5 ; -10 ; -5 ; -10
21750 ; -5 ; -10 ; 0 ; 0 ; -10
21875 ; -5 ; -10 ; -5 ; 0 ; -20
22000 ; -5 ; -10 ; -5 ; -5 ; -20
22125 ; -10 ; -5 ; -10 ; 0 ; -20
22250 ; -5 ; -10 ; -5 ; -5 ; -25
22375 ; -5 ; -15 ; -5 ; -5 ; -20
22500 ; -15 ; -10 ; -10 ; 0 ; -25
22625 ; -5 ; -10 ; 0 ; -5 ; -25
22750 ; -15 ; -15 ; -10 ; -5 ; -30
22875 ; -20 ; -5 ; -10 ; -10 ; -30
23000 ; -20 ; -10 ; -10 ; -10 ; -35
23125 ; -20 ; -15 ; -20 ; -10 ; -50
23250 ; -25 ; -10 ; -20 ; -10 ; -55
23375 ; -35 ; -15 ; -20 ; -5 ; -65
23500 ; -30 ; -15 ; -25 ; -10 ; -90
23625 ; -30 ; -15 ; -25 ; -5 ; -95
23750 ; -35 ; -15 ; -25 ; -5 ; -95
23875 ; -30 ; -10 ; -20 ; -15 ; -85
24000 ; -30 ; -10 ; -30 ; -10 ; -90
24125 ; -35 ; -5 ; -30 ; -5 ; -70
24250 ; -25 ; -10 ; -30 ; -10 ; -50
24375 ; -30 ; -10 ; -40 ; -5 ; -40
24500 ; -30 ; -5 ; -35 ; -5 ; -30
24625 ; -25 ; -10 ; -40 ; 0 ; -25
24750 ; -20 ; -5 ; -45 ; 0 ; -30
24875 ; -15 ; 0 ; -45 ; 0 ; -35
25000 ; -15 ; 0 ; -40 ; 0 ; -45
25125 ; -10 ; 5 ; -45 ; -5 ; -40
25250 ; -15 ; 15 ; -40 ; 0 ; -60
25375 ; -10 ; 15 ; -45 ; 0 ; -80
25500 ; -5 ; 20 ; -50 ; 0 ; -95
25625 ; -15 ; 25 ; -55 ; 5 ; -110
25750 ; -10 ; 30 ; -50 ; 5 ; -115
25875 ; -15 ; 25 ; -50 ; 5 ; -130
26000 ; -25 ; 30 ; -50 ; 10 ; -150
26125 ; -25 ; 30 ; -45 ; 10 ; -175
26250 ; -35 ; 20 ; -55 ; 10 ; -195
26375 ; -40 ; 25 ; -60 ; 5 ; -205
26500 ; -55 ; 20 ; -55 ; 10 ; -250
26625 ; -55 ; 10 ; -70 ; 0 ; -280
26750 ; -55 ; 5 ; -70 ; -5 ; -310
26875 ; -70 ; -5 ; -70 ; 0 ; -350
27000 ; -65 ; -20 ; -80 ; -15 ; -345
27125 ; -65 ; -35 ; -85 ; -25 ; -325
27250 ; -75 ; -40 ; -85 ; -25 ; -300
27375 ; -70 ; -50 ; -80 ; -40 ; -280
27500 ; -75 ; -55 ; -85 ; -35 ; -260
27625 ; -75 ; -40 ; -80 ; -25 ; -240
27750 ; -65 ; -40 ; -65 ; -25 ; -220
27875 ; -65 ; -35 ; -65 ; -10 ; -205
28000 ; -60 ; -20 ; -45 ; 0 ; -190
28125 ; -55 ; -15 ; -40 ; 5 ; -175
28250 ; -35 ; -15 ; -30 ; 10 ; -160
28375 ; -20 ; -10 ; -5 ; 15 ; -150
28500 ; -10 ; 0 ; 5 ; 20 ; -140
28625 ; 10 ; 5 ; 20 ; 15 ; -130
28750 ; 25 ; 0 ; 45 ; 30 ; -120
28875 ; 40 ; 15 ; 60 ; 30 ; -100
29000 ; 65 ; 10 ; 75 ; 30 ; -20
29125 ; 75 ; 15 ; 90 ; 40 ; 110
