Model ; X100+Option
Layout Type ; 0
Data Offset ; 23
Date ; 2019-07-18
Time ; 15:44:50

Time Base ; 5 ms/div
Sensitivity ; 100 uV/div
Pan ; 0 ms
Curve no ; 6-10
Common BaseLine ; Off
Lower Frequency Limit ; 100 Hz
Upper Frequency Limit ; 5 kHz
Trigger Mode ; Stimulus

Curve no ; 6 ; 7 ; 8 ; 9 ; 10
Session Id ; 0 ; 0 ; 0 ; 0 ; 0
Entry Id ; 0 ; 0 ; 0 ; 0 ; 0
Data Code ; 1 ; 1 ; 1 ; 1 ; 1
Amplitude (%) ; 0 ; 0 ; 0 ; 0 ; 0
di/dt (A/us) ; 0 ; 0 ; 0 ; 0 ; 0
(us) ; (uV) ; (uV) ; (uV) ; (uV) ; (uV)
0 ; 0 ; 0 ; 0 ; 0 ; 0
125 ; -540 ; -500 ; -500 ; -450 ; -500
250 ; 305 ; 260 ; 270 ; 240 ; 285
375 ; -5 ; 0 ; 10 ; -5 ; -5
500 ; -10 ; -5 ; -5 ; -10 ; -5
625 ; -15 ; -5 ; -5 ; -10 ; -10
750 ; -5 ; 5 ; 5 ; 0 ; 0
875 ; -5 ; -5 ; 0 ; 0 ; 0
1000 ; -10 ; -5 ; -5 ; -10 ; -10
1125 ; 0 ; -5 ; 0 ; 0 ; 0
1250 ; 0 ; -5 ; -5 ; 0 ; -5
1375 ; -10 ; -5 ; -5 ; -10 ; -5
1500 ; -10 ; -10 ; -5 ; -5 ; -5
1625 ; -5 ; 0 ; 0 ; -5 ; -5
1750 ; -15 ; -10 ; -5 ; -10 ; -5
1875 ; -10 ; -5 ; 0 ; 0 ; -10
2000 ; -5 ; 0 ; 0 ; -5 ; -5
2125 ; -5 ; -10 ; -10 ; -5 ; -10
2250 ; -5 ; -5 ; -5 ; -5 ; -15
2375 ; -5 ; -5 ; -5 ; -5 ; 0
2500 ; -5 ; -10 ; -10 ; -10 ; -10
2625 ; -10 ; -5 ; -5 ; -10 ; -10
2750 ; 0 ; -5 ; -5 ; -5 ; -5
2875 ; -5 ; -5 ; -5 ; -10 ; -10
3000 ; -5 ; -5 ; -5 ; -5 ; -5
3125 ; 0 ; -5 ; -5 ; 0 ; -5
3250 ; -5 ; -5 ; -5 ; -5 ; -10
